obs,dataset, balloons,gross_wt,net_wt,purity,age_yrs,gender
52,12,39,399.2,132.3,0.620,34,1
53,12,62,655.1,380.6,0.760,25,0
54,1,55,380.9,328.2,0.740,NA,NA
55,1,3,50.1,20.0,0.670,NA,NA
56,1,110,NA,619.7,0.660,NA,NA
57,1,70,865.6,480.2,0.820,NA,NA
58,1,83,827.1,551.1,0.610,NA,NA
59,1,93,778.4,512.8,0.820,NA,NA
60,1,39,NA,219.3,0.990,NA,NA
61,1,95,1345.2,1020.0,0.550,NA,NA
62,1,80,613.6,364.0,0.800,NA,NA
63,1,72,747.2,461.6,0.640,NA,NA
64,1,15,NA,500.8,0.830,NA,NA
65,1,152,1142.6,596.6,0.180,NA,NA
66,1,92,869.1,458.1,0.670,NA,NA
67,1,50,NA,294.5,0.510,NA,NA
68,1,121,1208.7,434.2,0.310,NA,NA
69,1,48,539.1,311.7,0.680,NA,NA
70,1,70,1160.8,593.1,0.620,NA,NA
71,1,72,NA,480.5,0.930,NA,NA
72,1,50,560.3,419.1,0.840,NA,NA
73,1,30,331.7,183.6,0.810,NA,NA
74,1,15,NA,105.1,0.770,NA,NA
75,1,2,550.0,471.9,0.850,NA,NA
76,1,2,551.0,470.7,0.840,NA,NA
77,1,113,960.6,594.4,0.660,NA,NA
78,1,72,811.8,521.5,0.950,NA,NA
79,1,40,272.2,196.0,0.050,NA,NA
80,12,40,621.3,314.0,0.340,54,1
81,1,49,646.2,357.7,0.940,NA,NA
82,1,4,NA,193.8,0.640,NA,NA
83,1,100,1275.0,906.0,0.990,NA,NA
84,1,73,782.4,476.7,0.690,NA,NA
85,1,91,1103.6,443.4,0.770,NA,NA
86,1,103,1849.6,652.3,0.940,NA,NA
87,1,45,774.7,445.5,0.660,NA,NA
88,12,71,522.6,293.2,0.880,45,1
89,1,124,1113.6,591.0,0.970,NA,NA
90,12,90,914.8,582.3,0.930,31,1
91,1,67,955.6,512.0,0.350,NA,NA
92,12,84,826.5,494.3,0.790,39,1
93,12,35,321.2,205.1,0.700,34,1
94,1,61,679.4,342.2,0.840,NA,NA
95,1,8,97.7,45.3,0.830,NA,NA
96,1,71,856.7,413.9,0.960,NA,NA
97,1,42,452.1,240.2,0.620,NA,NA
98,1,81,683.0,472.5,0.860,NA,NA
99,1,71,735.5,355.0,0.820,NA,NA
100,12,49,740.0,491.8,0.750,23,1
101,12,80,875.6,510.6,0.470,37,1
102,1,79,509.6,373.4,0.310,NA,NA
103,1,4,122.7,22.6,0.940,NA,NA
104,1,1,139.1,106.5,0.960,NA,NA
105,1,27,223.3,145.8,0.950,NA,NA
106,12,84,617.7,504.0,0.850,44,1
107,12,68,781.6,471.2,0.890,33,1
108,1,96,1064.8,839.3,0.950,NA,NA
109,1,171,NA,840.0,0.650,NA,NA
110,1,76,889.2,387.6,0.450,NA,NA
111,1,100,740.9,410.5,0.760,NA,NA
112,1,97,978.9,491.8,0.440,NA,NA
113,1,109,1313.4,763.0,0.970,NA,NA
114,1,99,1277.5,495.0,0.300,NA,NA
115,1,66,726.8,460.0,1.000,NA,NA
116,1,98,804.5,483.1,0.650,NA,NA
117,1,82,1015.9,562.5,0.280,NA,NA
118,1,66,770.7,426.4,0.650,NA,NA
119,12,71,610.5,356.7,0.810,46,1
120,1,101,857.5,531.3,0.740,NA,NA
121,1,68,856.2,320.4,0.460,NA,NA
122,1,94,968.4,545.2,0.620,NA,NA
123,1,35,519.3,373.2,0.910,NA,NA
124,1,105,859.8,469.1,0.660,NA,NA
125,1,54,393.1,249.4,0.540,NA,NA
126,1,80,742.1,412.0,0.790,NA,NA
127,1,69,682.8,426.3,0.660,NA,NA
128,1,75,916.5,475.0,0.580,NA,NA
129,1,67,906.4,462.3,0.980,NA,NA
130,1,110,1222.0,836.7,0.770,NA,NA
131,1,97,1108.9,582.0,0.710,NA,NA
132,1,75,886.3,467.3,0.640,NA,NA
133,1,239,NA,2250.0,0.800,NA,NA
134,1,116,NA,2250.0,0.680,NA,NA
135,1,55,NA,286.6,0.530,NA,NA
136,1,2,NA,101.1,0.300,NA,NA
137,,1,NA,66.7,0.930,NA,NA
138,1,97,1033.9,455.9,0.780,NA,NA
139,1,18,NA,143.5,0.760,NA,NA
140,1,116,NA,345.5,0.810,NA,NA
141,1,2,NA,312.4,0.710,NA,NA
142,2,NA,331.0,NA,NA,38,0
143,2,NA,572.0,NA,NA,26,0
144,2,NA,698.0,NA,NA,41,1
145,2,NA,594.0,NA,NA,29,1
146,2,NA,204.0,NA,NA,29,1
147,2,NA,687.0,NA,NA,34,1
148,2,NA,788.0,NA,NA,25,1
149,2,NA,808.0,NA,NA,31,1
150,2,NA,1090.0,NA,NA,35,1
151,2,NA,403.0,NA,NA,26,1
152,2,NA,383.0,NA,NA,36,1
153,2,NA,748.0,NA,NA,28,1
154,2,NA,869.0,NA,NA,34,1
155,2,NA,827.0,NA,NA,29,1
156,2,NA,352.0,NA,NA,25,0
157,2,NA,903.0,NA,NA,31,1
158,2,NA,609.0,NA,NA,30,1
159,2,NA,849.0,NA,NA,38,1
160,2,NA,736.0,NA,NA,32,1
161,2,NA,865.0,NA,NA,30,1
162,2,NA,814.0,NA,NA,41,1
163,2,NA,608.0,NA,NA,31,1
164,2,NA,1130.0,NA,NA,37,1
165,2,NA,690.0,NA,NA,30,1
166,2,NA,298.0,NA,NA,30,1
167,2,NA,817.0,NA,NA,34,1
168,2,NA,1064.0,NA,NA,36,1
169,2,NA,790.0,NA,NA,52,0
170,2,NA,564.0,NA,NA,37,1
171,2,NA,829.0,NA,NA,30,1
172,2,NA,565.0,NA,NA,26,0
173,2,NA,921.0,NA,NA,37,1
174,2,NA,958.0,NA,NA,39,1
175,2,NA,2093.0,NA,NA,40,1
176,2,NA,600.0,NA,NA,32,1
177,2,NA,594.0,NA,NA,47,0
178,2,NA,895.0,NA,NA,38,1
179,2,NA,1087.0,NA,NA,29,1
180,2,NA,631.0,NA,NA,33,1
181,2,NA,779.0,NA,NA,35,1
182,2,NA,653.0,NA,NA,26,0
183,2,NA,677.0,NA,NA,35,1
184,2,NA,993.0,NA,NA,38,1
185,2,NA,652.0,NA,NA,30,0
186,2,NA,511.0,NA,NA,42,1
187,2,NA,899.0,NA,NA,31,1
188,2,NA,835.0,NA,NA,35,0
189,2,NA,734.0,NA,NA,44,0
190,2,NA,400.0,NA,NA,35,1
191,2,NA,1575.0,NA,NA,51,1
192,2,NA,477.0,NA,NA,27,1
193,2,NA,648.0,NA,NA,36,0
194,2,NA,869.0,NA,NA,28,1
195,2,NA,1472.0,NA,NA,44,1
196,2,NA,746.0,NA,NA,34,1
197,2,NA,870.0,NA,NA,28,1
198,2,NA,966.0,NA,NA,31,1
199,2,NA,628.0,NA,NA,37,1
200,2,NA,397.0,NA,NA,33,1
201,2,NA,916.0,NA,NA,33,1
202,2,NA,513.0,NA,NA,51,1
203,2,NA,613.0,NA,NA,37,1
204,2,NA,631.0,NA,NA,35,1
205,2,NA,1421.0,NA,NA,45,1
206,2,NA,1658.0,NA,NA,44,1
207,2,NA,1179.0,NA,NA,39,1
208,2,NA,1138.0,NA,NA,41,1
209,2,NA,792.0,NA,NA,43,1
210,2,NA,193.0,NA,NA,35,1
211,2,NA,323.0,NA,NA,24,1
212,2,NA,974.0,NA,NA,42,1
213,2,NA,715.0,NA,NA,28,1
214,2,NA,876.0,NA,NA,39,1
215,2,NA,855.0,NA,NA,24,0
216,2,NA,795.0,NA,NA,38,1
217,2,NA,323.0,NA,NA,30,1
218,2,NA,762.0,NA,NA,31,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
